
Acura,"27,458","37,382","69,065","73,767",-26.5
Alfa Romeo,"3,735","4,751","7,437","9,037",-21.4
Audi,"34,839","53,325","76,210","101,440",-34.7
BMW,"50,956","82,551","113,108","156,439",-38.3
Buick,"35,521","55,373","69,391","107,238",-35.9
Cadillac,"23,297","39,739","53,620","75,735",-41.4
Chevrolet,"330,381","486,884","759,910","938,626",-32.1
Chrysler,"13,857","32,831","43,802","64,422",-57.8
Dodge,"43,756","117,582","132,412","228,099",-62.8
Fiat,"1,339","2,889","2,467","5,103",-53.7
Ford,"411,035","613,098","900,086","1,170,982",-33.0
Genesis,"3,585","5,805","8,797","10,008",-38.2
GMC,"101,759","151,701","220,477","277,280",-32.9
Honda,"266,044","370,026","638,671","703,428",-28.1
Hyundai,"139,378","185,743","327,930","333,328",-25.0
Infiniti,"16,097","28,743","41,653","63,058",-44.0
Jaguar,"4,320","6,060","11,586","16,282",-28.7
Jeep,"176,713","243,477","359,380","456,281",-27.4
Kia,"125,302","168,248","315,726","304,844",-25.5
Land Rover,"14,500","21,095","36,436","46,123",-31.3
Lexus,"50,458","68,944","130,243","135,735",-26.8
Lincoln,"21,280","25,941","46,842","50,815",-18.0
Mazda,"61,199","67,722","152,954","138,553",-9.6
Mercedes-Benz,"69,505","80,463","144,770","159,130",-13.6
Mini,"5,288","8,678","10,524","17,583",-39.1
Mitsubishi,"12,197","29,030","47,760","71,100",-58.0
Nissan,"161,317","322,442","393,365","653,978",-50.0
Porsche,"12,193","15,233","24,177","30,257",-20.0
Ram,"127,682","196,155","268,168","333,168",-34.9
Smart,0,244,0,475,-100.0
Subaru,"136,519","182,771","318,568","339,525",-25.3
Tesla,"36,800","53,300","89,600","83,900",-31.0
Toyota,"347,571","539,448","933,017","1,016,373",-35.6
Volkswagen,"69,933","98,736","144,998","184,608",-29.2
Volvo,"23,770","28,062","52,952","50,120",-15.3
